,locationid,latitude,longitude,shapewkt,X,country,CONST_CODE,WARD_NAME,CONSTITUEN,COUNTY_ASS,COUNTY_A_1,COUNTY_COD,COUNTY_NAME
15,10175551,2.875,38.458,"POLYGON ((38.416665792999964 2.83333309599999, 38.499999125999963 2.83333309599999, 38.499999125999963 2.91666642899999, 38.416665792999964 2.91666642899999, 38.416665792999964 2.83333309599999))",1523,Kenya,46,TURBI,NORTH HORR,230,TURBI,10,MARSABIT
16,10175557,3.458,38.792,"POLYGON ((38.74999912499996 3.4166664269999885, 38.833332457999958 3.4166664269999885, 38.833332457999958 3.4999997599999886, 38.74999912499996 3.4999997599999886, 38.74999912499996 3.4166664269999885))",1211,Kenya,45,OBBU,MOYALE,227,OBBU,10,MARSABIT
17,10175634,2.875,38.375,"POLYGON ((38.333332459999951 2.83333309599999, 38.41666579299995 2.83333309599999, 38.41666579299995 2.91666642899999, 38.333332459999951 2.91666642899999, 38.333332459999951 2.83333309599999))",1132,Kenya,46,TURBI,NORTH HORR,230,TURBI,10,MARSABIT
18,10175664,3.625,36.958,"POLYGON ((36.916665798999958 3.583333092999986, 36.999999131999957 3.583333092999986, 36.999999131999957 3.6666664259999862, 36.916665798999958 3.6666664259999862, 36.916665798999958 3.583333092999986))",574,Kenya,46,NORTH HORR,NORTH HORR,231,NORTH HORR,10,MARSABIT
19,10176653,1.458,38.125,"POLYGON ((38.083332460999941 1.4166664349999891, 38.16666579399994 1.4166664349999891, 38.16666579399994 1.499999767999989, 38.083332460999941 1.499999767999989, 38.083332460999941 1.4166664349999891))",1333,Kenya,49,CHARI,ISIOLO NORTH,243,CHARI,11,ISIOLO
20,10176656,1.375,37.625,"POLYGON ((37.583332462999948 1.3333331019999903, 37.666665795999947 1.3333331019999903, 37.666665795999947 1.4166664349999902, 37.583332462999948 1.4166664349999902, 37.583332462999948 1.3333331019999903))",1189,Kenya,48,LAISAMIS,LAISAMIS,240,LAISAMIS,10,MARSABIT
21,10176667,3.792,36.458,"POLYGON ((36.416665800999965 3.7499997589999836, 36.499999133999964 3.7499997589999836, 36.499999133999964 3.8333330919999837, 36.416665800999965 3.8333330919999837, 36.416665800999965 3.7499997589999836))",1363,Kenya,46,NORTH HORR,NORTH HORR,231,NORTH HORR,10,MARSABIT
22,10176687,1.125,39.375,"POLYGON ((39.333332455999965 1.0833331029999869, 39.416665788999964 1.0833331029999869, 39.416665788999964 1.1666664359999868, 39.333332455999965 1.1666664359999868, 39.333332455999965 1.0833331029999869))",1412,Kenya,50,SERICHO,ISIOLO SOUTH,250,SERICHO,11,ISIOLO
23,10176690,0.958,39.458,"POLYGON ((39.41666578899995 0.91666643699998929, 39.499999121999949 0.91666643699998929, 39.499999121999949 0.9999997699999893, 39.41666578899995 0.9999997699999893, 39.41666578899995 0.91666643699998929))",1875,Kenya,50,SERICHO,ISIOLO SOUTH,250,SERICHO,11,ISIOLO
24,10176739,2.958,37.958,"POLYGON ((37.916665794999943 2.9166664289999886, 37.999999127999942 2.9166664289999886, 37.999999127999942 2.9999997619999887, 37.916665794999943 2.9999997619999887, 37.916665794999943 2.9166664289999886))",33,Kenya,46,MAIKONA,NORTH HORR,229,MAIKONA,10,MARSABIT
25,10176771,1.958,39.125,"POLYGON ((39.083332456999955 1.916666432999989, 39.166665789999954 1.916666432999989, 39.166665789999954 1.9999997659999889, 39.083332456999955 1.9999997659999889, 39.083332456999955 1.916666432999989))",56,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
26,10176940,0.792,38.042,"POLYGON ((37.999999127999956 0.74999977099998461, 38.083332460999955 0.74999977099998461, 38.083332460999955 0.83333310399998461, 37.999999127999956 0.83333310399998461, 37.999999127999956 0.74999977099998461))",1127,Kenya,50,KINNA,ISIOLO SOUTH,249,KINNA,11,ISIOLO
27,10176952,2.875,37.792,"POLYGON ((37.749999128999946 2.83333309599999, 37.833332461999944 2.83333309599999, 37.833332461999944 2.91666642899999, 37.749999128999946 2.91666642899999, 37.749999128999946 2.83333309599999))",93,Kenya,46,MAIKONA,NORTH HORR,229,MAIKONA,10,MARSABIT
28,10177096,0.292,37.542,"POLYGON ((37.499999129999964 0.24999977299998477, 37.583332462999962 0.24999977299998477, 37.583332462999962 0.33333310599998478, 37.499999129999964 0.33333310599998478, 37.499999129999964 0.24999977299998477))",155,Kenya,49,BULLA PESA,ISIOLO NORTH,242,BULLA PESA,11,ISIOLO
29,10177191,1.958,37.042,"POLYGON ((36.999999131999942 1.916666432999989, 37.083332464999941 1.916666432999989, 37.083332464999941 1.9999997659999889, 36.999999131999942 1.9999997659999889, 36.999999131999942 1.916666432999989))",775,Kenya,48,KARGI/SOUTH HORR,LAISAMIS,237,KARGI/SOUTH HORR,10,MARSABIT
30,10177194,1.875,38.542,"POLYGON ((38.499999125999949 1.8333330999999902, 38.583332458999948 1.8333330999999902, 38.583332458999948 1.91666643299999, 38.499999125999949 1.91666643299999, 38.499999125999949 1.8333330999999902))",1136,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
31,10177227,2.708,37.125,"POLYGON ((37.083332464999955 2.6666664299999852, 37.166665797999954 2.6666664299999852, 37.166665797999954 2.7499997629999853, 37.083332464999955 2.7499997629999853, 37.083332464999955 2.6666664299999852))",1246,Kenya,48,LOIYANGALANI,LAISAMIS,236,LOIYANGALANI,10,MARSABIT
32,10177228,2.958,37.125,"POLYGON ((37.083332464999955 2.9166664289999886, 37.166665797999954 2.9166664289999886, 37.166665797999954 2.9999997619999887, 37.083332464999955 2.9999997619999887, 37.083332464999955 2.9166664289999886))",1103,Kenya,48,LOIYANGALANI,LAISAMIS,236,LOIYANGALANI,10,MARSABIT
33,10177234,4.042,37.042,"POLYGON ((36.999999131999942 3.9999997579999871, 37.083332464999941 3.9999997579999871, 37.083332464999941 4.0833330909999868, 36.999999131999942 4.0833330909999868, 36.999999131999942 3.9999997579999871))",1100,Kenya,46,NORTH HORR,NORTH HORR,231,NORTH HORR,10,MARSABIT
34,10177243,3.458,38.542,"POLYGON ((38.499999125999949 3.4166664269999885, 38.583332458999948 3.4166664269999885, 38.583332458999948 3.4999997599999886, 38.499999125999949 3.4999997599999886, 38.499999125999949 3.4166664269999885))",44,Kenya,45,URAN,MOYALE,226,URAN,10,MARSABIT
35,10177265,3.458,37.875,"POLYGON ((37.833332461999959 3.4166664269999885, 37.916665794999957 3.4166664269999885, 37.916665794999957 3.4999997599999886, 37.833332461999959 3.4999997599999886, 37.833332461999959 3.4166664269999885))",587,Kenya,46,MAIKONA,NORTH HORR,229,MAIKONA,10,MARSABIT
36,10177288,1.292,38.208,"POLYGON ((38.166665793999954 1.2499997689999844, 38.249999126999953 1.2499997689999844, 38.249999126999953 1.3333331019999843, 38.166665793999954 1.3333331019999843, 38.166665793999954 1.2499997689999844))",736,Kenya,49,CHARI,ISIOLO NORTH,243,CHARI,11,ISIOLO
37,10177327,0.708,38.042,"POLYGON ((37.999999127999956 0.66666643799998582, 38.083332460999955 0.66666643799998582, 38.083332460999955 0.74999977099998583, 37.999999127999956 0.74999977099998583, 37.999999127999956 0.66666643799998582))",1384,Kenya,50,KINNA,ISIOLO SOUTH,249,KINNA,11,ISIOLO
38,10178619,4.292,36.625,"POLYGON ((36.583332466999963 4.2499997569999834, 36.666665799999961 4.2499997569999834, 36.666665799999961 4.3333330899999831, 36.583332466999963 4.3333330899999831, 36.583332466999963 4.2499997569999834))",965,Kenya,46,ILLERET,NORTH HORR,232,ILLERET,10,MARSABIT
39,10178850,3.292,39.208,"POLYGON ((39.166665789999939 3.2499997609999838, 39.249999122999938 3.2499997609999838, 39.249999122999938 3.3333330939999839, 39.166665789999939 3.3333330939999839, 39.166665789999939 3.2499997609999838))",550,Kenya,45,GOLBO,MOYALE,224,GOLBO,10,MARSABIT
40,10178858,2.708,39.042,"POLYGON ((38.999999123999942 2.6666664299999852, 39.083332456999941 2.6666664299999852, 39.083332456999941 2.7499997629999853, 38.999999123999942 2.7499997629999853, 38.999999123999942 2.6666664299999852))",410,Kenya,45,BUTIYE,MOYALE,221,BUTIYE,10,MARSABIT
41,10178859,2.792,37.708,"POLYGON ((37.666665795999961 2.7499997629999839, 37.74999912899996 2.7499997629999839, 37.74999912899996 2.8333330959999841, 37.666665795999961 2.8333330959999841, 37.666665795999961 2.7499997629999839))",1379,Kenya,46,MAIKONA,NORTH HORR,229,MAIKONA,10,MARSABIT
42,10178880,1.375,38.875,"POLYGON ((38.833332457999944 1.3333331019999903, 38.916665790999943 1.3333331019999903, 38.916665790999943 1.4166664349999902, 38.833332457999944 1.4166664349999902, 38.833332457999944 1.3333331019999903))",111,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
43,10178886,1.708,38.792,"POLYGON ((38.74999912499996 1.6666664339999855, 38.833332457999958 1.6666664339999855, 38.833332457999958 1.7499997669999854, 38.74999912499996 1.7499997669999854, 38.74999912499996 1.6666664339999855))",181,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
44,10178888,1.792,37.708,"POLYGON ((37.666665795999961 1.7499997669999843, 37.74999912899996 1.7499997669999843, 37.74999912899996 1.8333330999999842, 37.666665795999961 1.8333330999999842, 37.666665795999961 1.7499997669999843))",1119,Kenya,48,LAISAMIS,LAISAMIS,240,LAISAMIS,10,MARSABIT
45,10178901,2.292,38.125,"POLYGON ((38.083332460999941 2.2499997649999841, 38.16666579399994 2.2499997649999841, 38.16666579399994 2.3333330979999842, 38.083332460999941 2.3333330979999842, 38.083332460999941 2.2499997649999841))",1518,Kenya,48,LOGO LOGO,LAISAMIS,239,LOGOLOGO,10,MARSABIT
46,10179362,0.625,37.875,"POLYGON ((37.833332461999959 0.583333104999987, 37.916665794999957 0.583333104999987, 37.916665794999957 0.666666437999987, 37.833332461999959 0.666666437999987, 37.833332461999959 0.583333104999987))",1381,Kenya,49,NGARE MARA,ISIOLO NORTH,245,673,11,ISIOLO
47,10179376,2.792,37.625,"POLYGON ((37.583332462999948 2.7499997629999839, 37.666665795999947 2.7499997629999839, 37.666665795999947 2.8333330959999841, 37.583332462999948 2.8333330959999841, 37.583332462999948 2.7499997629999839))",1323,Kenya,48,KARGI/SOUTH HORR,LAISAMIS,237,KARGI/SOUTH HORR,10,MARSABIT
48,10179388,2.458,38.958,"POLYGON ((38.916665790999957 2.4166664309999888, 38.999999123999956 2.4166664309999888, 38.999999123999956 2.4999997639999889, 38.916665790999957 2.4999997639999889, 38.916665790999957 2.4166664309999888))",1753,Kenya,45,URAN,MOYALE,226,URAN,10,MARSABIT
49,10179389,2.625,38.375,"POLYGON ((38.333332459999951 2.5833330969999864, 38.41666579299995 2.5833330969999864, 38.41666579299995 2.6666664299999865, 38.333332459999951 2.6666664299999865, 38.333332459999951 2.5833330969999864))",1664,Kenya,46,TURBI,NORTH HORR,230,TURBI,10,MARSABIT
50,10179390,2.625,39.042,"POLYGON ((38.999999123999942 2.5833330969999864, 39.083332456999941 2.5833330969999864, 39.083332456999941 2.6666664299999865, 38.999999123999942 2.6666664299999865, 38.999999123999942 2.5833330969999864))",882,Kenya,45,BUTIYE,MOYALE,221,BUTIYE,10,MARSABIT
51,10179449,2.208,37.875,"POLYGON ((37.833332461999959 2.1666664319999853, 37.916665794999957 2.1666664319999853, 37.916665794999957 2.2499997649999854, 37.833332461999959 2.2499997649999854, 37.833332461999959 2.1666664319999853))",1724,Kenya,47,KARARE,SAKU,234,KARARE,10,MARSABIT
52,10179467,2.208,37.792,"POLYGON ((37.749999128999946 2.1666664319999853, 37.833332461999944 2.1666664319999853, 37.833332461999944 2.2499997649999854, 37.749999128999946 2.2499997649999854, 37.749999128999946 2.1666664319999853))",1652,Kenya,48,KORR/NGURUNIT,LAISAMIS,238,KORR/NGURUNIT,10,MARSABIT
53,10179704,0.458,38.458,"POLYGON ((38.416665792999964 0.41666643899998945, 38.499999125999963 0.41666643899998945, 38.499999125999963 0.49999977199998946, 38.416665792999964 0.49999977199998946, 38.416665792999964 0.41666643899998945))",597,Kenya,50,GARBATULLA,ISIOLO SOUTH,248,GARBA TULLA,11,ISIOLO
54,10179761,1.792,37.958,"POLYGON ((37.916665794999943 1.7499997669999843, 37.999999127999942 1.7499997669999843, 37.999999127999942 1.8333330999999842, 37.916665794999943 1.8333330999999842, 37.916665794999943 1.7499997669999843))",589,Kenya,48,LAISAMIS,LAISAMIS,240,LAISAMIS,10,MARSABIT
55,10180019,2.458,38.625,"POLYGON ((38.583332458999962 2.4166664309999888, 38.666665791999961 2.4166664309999888, 38.666665791999961 2.4999997639999889, 38.583332458999962 2.4999997639999889, 38.583332458999962 2.4166664309999888))",256,Kenya,46,TURBI,NORTH HORR,230,TURBI,10,MARSABIT
56,10180168,3.458,37.125,"POLYGON ((37.083332464999955 3.4166664269999885, 37.166665797999954 3.4166664269999885, 37.166665797999954 3.4999997599999886, 37.083332464999955 3.4999997599999886, 37.083332464999955 3.4166664269999885))",381,Kenya,46,NORTH HORR,NORTH HORR,231,NORTH HORR,10,MARSABIT
57,10180191,1.625,37.792,"POLYGON ((37.749999128999946 1.5833331009999867, 37.833332461999944 1.5833331009999867, 37.833332461999944 1.6666664339999866, 37.749999128999946 1.6666664339999866, 37.749999128999946 1.5833331009999867))",1120,Kenya,48,LAISAMIS,LAISAMIS,240,LAISAMIS,10,MARSABIT
58,10180210,3.708,37.208,"POLYGON ((37.16666579799994 3.6666664259999848, 37.249999130999939 3.6666664259999848, 37.249999130999939 3.7499997589999849, 37.16666579799994 3.7499997589999849, 37.16666579799994 3.6666664259999848))",1250,Kenya,46,NORTH HORR,NORTH HORR,231,NORTH HORR,10,MARSABIT
59,10180213,1.792,38.958,"POLYGON ((38.916665790999957 1.7499997669999843, 38.999999123999956 1.7499997669999843, 38.999999123999956 1.8333330999999842, 38.916665790999957 1.8333330999999842, 38.916665790999957 1.7499997669999843))",683,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
60,10180269,4.042,36.625,"POLYGON ((36.583332466999963 3.9999997579999871, 36.666665799999961 3.9999997579999871, 36.666665799999961 4.0833330909999868, 36.583332466999963 4.0833330909999868, 36.583332466999963 3.9999997579999871))",1025,Kenya,46,NORTH HORR,NORTH HORR,231,NORTH HORR,10,MARSABIT
61,10180271,3.542,36.958,"POLYGON ((36.916665798999958 3.4999997599999872, 36.999999131999957 3.4999997599999872, 36.999999131999957 3.5833330929999874, 36.916665798999958 3.5833330929999874, 36.916665798999958 3.4999997599999872))",774,Kenya,46,NORTH HORR,NORTH HORR,231,NORTH HORR,10,MARSABIT
62,10180505,2.292,38.792,"POLYGON ((38.74999912499996 2.2499997649999841, 38.833332457999958 2.2499997649999841, 38.833332457999958 2.3333330979999842, 38.74999912499996 2.3333330979999842, 38.74999912499996 2.2499997649999841))",876,Kenya,46,TURBI,NORTH HORR,230,TURBI,10,MARSABIT
63,10180533,1.625,37.542,"POLYGON ((37.499999129999964 1.5833331009999867, 37.583332462999962 1.5833331009999867, 37.583332462999962 1.6666664339999866, 37.499999129999964 1.6666664339999866, 37.499999129999964 1.5833331009999867))",1786,Kenya,48,LAISAMIS,LAISAMIS,240,LAISAMIS,10,MARSABIT
64,10180773,2.958,36.792,"POLYGON ((36.74999913299996 2.9166664289999886, 36.833332465999959 2.9166664289999886, 36.833332465999959 2.9999997619999887, 36.74999913299996 2.9999997619999887, 36.74999913299996 2.9166664289999886))",214,Kenya,48,LOIYANGALANI,LAISAMIS,236,LOIYANGALANI,10,MARSABIT
65,10180806,2.125,37.958,"POLYGON ((37.916665794999943 2.0833330989999865, 37.999999127999942 2.0833330989999865, 37.999999127999942 2.1666664319999867, 37.916665794999943 2.1666664319999867, 37.916665794999943 2.0833330989999865))",322,Kenya,48,LOGO LOGO,LAISAMIS,239,LOGOLOGO,10,MARSABIT
66,10180816,1.542,39.208,"POLYGON ((39.166665789999939 1.4999997679999879, 39.249999122999938 1.4999997679999879, 39.249999122999938 1.5833331009999878, 39.166665789999939 1.5833331009999878, 39.166665789999939 1.4999997679999879))",1818,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
67,10180832,2.375,38.708,"POLYGON ((38.666665791999947 2.33333309799999, 38.749999124999945 2.33333309799999, 38.749999124999945 2.41666643099999, 38.666665791999947 2.41666643099999, 38.666665791999947 2.33333309799999))",998,Kenya,46,TURBI,NORTH HORR,230,TURBI,10,MARSABIT
68,10180872,2.958,36.875,"POLYGON ((36.833332465999945 2.9166664289999886, 36.916665798999944 2.9166664289999886, 36.916665798999944 2.9999997619999887, 36.833332465999945 2.9999997619999887, 36.833332465999945 2.9166664289999886))",1636,Kenya,48,LOIYANGALANI,LAISAMIS,236,LOIYANGALANI,10,MARSABIT
69,10180921,3.208,36.792,"POLYGON ((36.74999913299996 3.166666427999985, 36.833332465999959 3.166666427999985, 36.833332465999959 3.2499997609999851, 36.74999913299996 3.2499997609999851, 36.74999913299996 3.166666427999985))",713,Kenya,46,NORTH HORR,NORTH HORR,231,NORTH HORR,10,MARSABIT
70,10181201,3.375,37.708,"POLYGON ((37.666665795999961 3.3333330939999897, 37.74999912899996 3.3333330939999897, 37.74999912899996 3.41666642699999, 37.666665795999961 3.41666642699999, 37.666665795999961 3.3333330939999897))",1789,Kenya,46,MAIKONA,NORTH HORR,229,MAIKONA,10,MARSABIT
71,10181202,3.375,38.958,"POLYGON ((38.916665790999957 3.3333330939999897, 38.999999123999956 3.3333330939999897, 38.999999123999956 3.41666642699999, 38.916665790999957 3.41666642699999, 38.916665790999957 3.3333330939999897))",1403,Kenya,45,BUTIYE,MOYALE,221,BUTIYE,10,MARSABIT
72,10181248,1.708,38.458,"POLYGON ((38.416665792999964 1.6666664339999855, 38.499999125999963 1.6666664339999855, 38.499999125999963 1.7499997669999854, 38.416665792999964 1.7499997669999854, 38.416665792999964 1.6666664339999855))",1803,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
73,10181568,1.542,38.542,"POLYGON ((38.499999125999949 1.4999997679999879, 38.583332458999948 1.4999997679999879, 38.583332458999948 1.5833331009999878, 38.499999125999949 1.5833331009999878, 38.499999125999949 1.4999997679999879))",937,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
74,10181612,2.542,37.625,"POLYGON ((37.583332462999948 2.4999997639999876, 37.666665795999947 2.4999997639999876, 37.666665795999947 2.5833330969999877, 37.583332462999948 2.5833330969999877, 37.583332462999948 2.4999997639999876))",1118,Kenya,48,KARGI/SOUTH HORR,LAISAMIS,237,KARGI/SOUTH HORR,10,MARSABIT
75,10182553,1.708,38.375,"POLYGON ((38.333332459999951 1.6666664339999855, 38.41666579299995 1.6666664339999855, 38.41666579299995 1.7499997669999854, 38.333332459999951 1.7499997669999854, 38.333332459999951 1.6666664339999855))",1131,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
76,10182939,0.958,38.958,"POLYGON ((38.916665790999957 0.91666643699998929, 38.999999123999956 0.91666643699998929, 38.999999123999956 0.9999997699999893, 38.916665790999957 0.9999997699999893, 38.916665790999957 0.91666643699998929))",51,Kenya,50,SERICHO,ISIOLO SOUTH,250,SERICHO,11,ISIOLO
77,10183331,0.042,38.375,"POLYGON ((38.333332459999951 -2.2600001159389649E-07, 38.41666579299995 -2.2600001159389649E-07, 38.41666579299995 0.083333106999988388, 38.333332459999951 0.083333106999988388, 38.333332459999951 -2.2600001159389649E-07))",402,Kenya,50,KINNA,ISIOLO SOUTH,249,KINNA,11,ISIOLO
78,10183336,3.208,39.208,"POLYGON ((39.166665789999939 3.166666427999985, 39.249999122999938 3.166666427999985, 39.249999122999938 3.2499997609999851, 39.166665789999939 3.2499997609999851, 39.166665789999939 3.166666427999985))",189,Kenya,45,GOLBO,MOYALE,224,GOLBO,10,MARSABIT
79,10183488,2.042,37.292,"POLYGON ((37.249999130999953 1.9999997659999877, 37.333332463999952 1.9999997659999877, 37.333332463999952 2.0833330989999879, 37.249999130999953 2.0833330989999879, 37.249999130999953 1.9999997659999877))",1643,Kenya,48,KORR/NGURUNIT,LAISAMIS,238,KORR/NGURUNIT,10,MARSABIT
80,10183752,0.542,38.208,"POLYGON ((38.166665793999954 0.49999977199998824, 38.249999126999953 0.49999977199998824, 38.249999126999953 0.58333310499998825, 38.166665793999954 0.58333310499998825, 38.166665793999954 0.49999977199998824))",1052,Kenya,50,KINNA,ISIOLO SOUTH,249,KINNA,11,ISIOLO
81,10184181,2.375,38.875,"POLYGON ((38.833332457999944 2.33333309799999, 38.916665790999943 2.33333309799999, 38.916665790999943 2.41666643099999, 38.833332457999944 2.41666643099999, 38.833332457999944 2.33333309799999))",1213,Kenya,46,TURBI,NORTH HORR,230,TURBI,10,MARSABIT
82,10184186,4.042,36.542,"POLYGON ((36.49999913399995 3.9999997579999871, 36.583332466999948 3.9999997579999871, 36.583332466999948 4.0833330909999868, 36.49999913399995 4.0833330909999868, 36.49999913399995 3.9999997579999871))",504,Kenya,46,NORTH HORR,NORTH HORR,231,NORTH HORR,10,MARSABIT
83,10184208,3.458,38.042,"POLYGON ((37.999999127999956 3.4166664269999885, 38.083332460999955 3.4166664269999885, 38.083332460999955 3.4999997599999886, 37.999999127999956 3.4999997599999886, 37.999999127999956 3.4166664269999885))",592,Kenya,46,MAIKONA,NORTH HORR,229,MAIKONA,10,MARSABIT
84,10184213,3.542,38.792,"POLYGON ((38.74999912499996 3.4999997599999872, 38.833332457999958 3.4999997599999872, 38.833332457999958 3.5833330929999874, 38.74999912499996 3.5833330929999874, 38.74999912499996 3.4999997599999872))",946,Kenya,45,SOLOLO,MOYALE,222,SOLOLO,10,MARSABIT
85,10184690,3.125,38.792,"POLYGON ((38.74999912499996 3.0833330949999862, 38.833332457999958 3.0833330949999862, 38.833332457999958 3.1666664279999863, 38.74999912499996 3.1666664279999863, 38.74999912499996 3.0833330949999862))",607,Kenya,45,OBBU,MOYALE,227,OBBU,10,MARSABIT
86,10184863,2.875,38.042,"POLYGON ((37.999999127999956 2.83333309599999, 38.083332460999955 2.83333309599999, 38.083332460999955 2.91666642899999, 37.999999127999956 2.91666642899999, 37.999999127999956 2.83333309599999))",1332,Kenya,46,MAIKONA,NORTH HORR,229,MAIKONA,10,MARSABIT
87,10184868,3.375,39.208,"POLYGON ((39.166665789999939 3.3333330939999897, 39.249999122999938 3.3333330939999897, 39.249999122999938 3.41666642699999, 39.166665789999939 3.41666642699999, 39.166665789999939 3.3333330939999897))",1677,Kenya,45,GOLBO,MOYALE,224,GOLBO,10,MARSABIT
88,10185234,2.375,37.792,"POLYGON ((37.749999128999946 2.33333309799999, 37.833332461999944 2.33333309799999, 37.833332461999944 2.41666643099999, 37.749999128999946 2.41666643099999, 37.749999128999946 2.33333309799999))",454,Kenya,48,KORR/NGURUNIT,LAISAMIS,238,KORR/NGURUNIT,10,MARSABIT
89,10185299,0.958,39.125,"POLYGON ((39.083332456999955 0.91666643699998929, 39.166665789999954 0.91666643699998929, 39.166665789999954 0.9999997699999893, 39.083332456999955 0.9999997699999893, 39.083332456999955 0.91666643699998929))",260,Kenya,50,SERICHO,ISIOLO SOUTH,250,SERICHO,11,ISIOLO
